movie_id,title,tags1
19995,Avatar,in the 22nd century a paraplegic marine is dispatched to the moon pandora on a unique mission but becomes torn between following orders and protecting an alien civilization samworthington zoesaldana sigourneyweaver stephenlang michellerodriguez giovanniribisi joeldavidmoore cchpounder wesstudi lazalonso dileeprao mattgerald seananthonymoran jasonwhyte scottlawrence kellykilgour jamespatrickpitt seanpatrickmurphy peterdillon kevindorman kelsonhenderson davidvanhorn jacobtomuri michaelblainrozgay joncurry lukehawker woodyschultz petermensah soniayee jahnelcurfman ilramchoi kylawarren lisaroumain debrawilson chrismala taylorkibby jodielandau julielamm cullenbmadden josephbradymadden frankietorres austinwilson sarawilson tamicawashingtonmiller lucybriant nathanmeister gerryblair matthewchamberlain paulyates wraywilson jamesgaylyn melvinlenoclarkiii carvonfutrell brandonjelkes micahmoch hanniyahmuhammad christophernolen christaoliver aprilmariethomas bravitaathreatt colinbleasdale mikebodnar mattclayton nicoledionne jamieharrison allanhenry anthonyingruber ashleyjeffery deanknowsley josephmikahunt terrynotary kaipantano loganpithyou stuartpollock raja garethruck rhiansheehan tjstorm jodietaylor aliciavelabailey richardwhiteside nikiezambo julenerenee jamescameron action adventure fantasy sciencefiction cultureclash future spacewar spacecolony society spacetravel futuristic romance space alien tribe alienplanet cgi marine soldier battle loveaffair antiwar powerrelations mindandsoul 3d
285,Pirates of the Caribbean: At World's End,captain barbossa long believed to be dead has come back to life and is headed to the edge of the earth with will turner and elizabeth swann but nothing is quite as it seems johnnydepp orlandobloom keiraknightley stellanskarsgrd chowyunfat billnighy geoffreyrush jackdavenport kevinmcnally tomhollander naomieharris jonathanpryce keithrichards leearenberg mackenziecrook gregellis davidbailie martinklebba davidschofield laurenmaher vanessabranch angusbarnett gilesnew reggielee dominicscottkay takayofischer davidmeunier hokwantse andybeckwith peterdonaldbadalamentiii christopherscapp keithrichards hakeemkaekazim ghassanmassoud goreverbinski adventure fantasy action ocean drugabuse exoticisland eastindiatradingcompany loveofoneslife traitor shipwreck strongwoman ship alliance calypso afterlife fighter pirate swashbuckler aftercreditsstinger
206647,Spectre,a cryptic message from bonds past sends him on a trail to uncover a sinister organization while m battles political forces to keep the secret service alive bond peels back the layers of deceit to reveal the terrible truth behind spectre danielcraig christophwaltz laseydoux ralphfiennes monicabellucci benwhishaw naomieharris davebautista andrewscott rorykinnear jesperchristensen alessandrocremona stephaniesigman tenochhuerta adrianapaz domenicofortunato marcozingaro stefanoelfidiclaudia ianbonar tamwilliams richardbanham pipcarter simonlenagan alessandrobressanello marczinga brigittemillar adelbencherif gediminasadomaitis peppelanzetta francescoarca matteotaranto emilioaniba benitosagredo daitabuchi georgelasha sargonyelda andycheung erickhayden olegmirochnikov antoniosalines miloudmouradbenamara gidoschimanski nigelbarber patricenaiambana stephanecornicard garyfannin sadaoueda philliplaw waiwong josephbalderrama eijimihara junichikajioka victorschef haraldwindisch tristanmatthiae detlefbothe bodofriesecke wilhemiben noemikrausz noahsaavedra francisattakpah michaelglantschnig marlonboess mariewohlmuth liliepply konstantingerlach laraparmiani umitulgen amramallassi ziadabaza walidmumuni derekhorsham nariblairmangat michaelwhite adammcgrady naderdernaika pezhmaanalinia judidench nevegachev karlfarrer kimadis maurisaselenecoleman matijamondimatovi sammendes action adventure crime spy basedonnovel secretagent sequel mi6 britishsecretservice unitedkingdom
49026,The Dark Knight Rises,following the death of district attorney harvey dent batman assumes responsibility for dents crimes to protect the late attorneys reputation and is subsequently hunted by the gotham city police department eight years later batman encounters the mysterious selina kyle and the villainous bane a new terrorist leader who overwhelms gothams finest the dark knight resurfaces to protect a city that has branded him an enemy christianbale michaelcaine garyoldman annehathaway tomhardy marioncotillard josephgordonlevitt morganfreeman cillianmurphy junotemple liamneeson matthewmodine alonaboutboul benmendelsohn nestorcarbonell joshpence tomconti joeyking warrenbrown danielsunjata samkennard aliashtepina nickjulian mirandanolan clairejulien aidangillen burngorman brettcullen reggielee josephlyletaylor chrisellis duanehenry jamesharveyward gonzalomenendez cameronjack lexdaniel tylerdeanflores thomaslennon trevorwhite robbrown fredriclehne courtneymunch chrishill travisguba jaybenedict willestes daviddayanfisher glenpowell russfega andresperezmolina brentbriscoe johnnolan olivercotton markkilleen sarahgoldberg johnmacmillan robertwisdom ronniegeneblevins johnhollingworth ianbohen urigavriel noelgugliemi hectoratreyuruiz patrickcox aramisknight joshstewart williamdevane davidgyasi patrickjordan joshuaelijahreese desmondharrington mychaelbates tomasarana peterholden davidmonahan jillianarmenante ajaevans aldousdavidson wadewilliams jakecanuso massifurlan christopherjudge patrickleahy toddgearhart marcabbink isiahadams charliealejandro robertarensen grantbabbitt fileenabahris rickbolander kylepatrickbrennan scottchurchson billcowher grahamcurry stephaniedominiehlert johnfarrer frankfata christopherbryangomez vitograssi michaelwrengucciardo samharris edheavey johnwiwanonkiw cindyjackson danieljordano williamkania tiffanykemp sunjaekim hrvojeklecz alexkruz tylerlamarr lejon pauljudeletersky joelipari silvialombardo jorgemardel calemcconnell daviddalemccue tiffanysandermckenzie allenmerritt olanmontgomery alexmoore shanenolan jacksonnunn josephobrien michaelpapajohn salomonpassariello kyledavidpierce troypolamalu michaelpower jamesrawlings kirstenroeters benroethlisberger markroman anthonyjsacco ericsalazar emilyschooley thomastull chrisvaina vincentvanommen michellevezzani barbaravincent justinmichaelwoods jasonyee mariazambrana johnzion alexziwak tommybayiokos matthewgooley jeffmoffitt markfalvo diogohausen garysievers orionmccabe londonmay jamesquinn danielnewman christophernolan action crime drama thriller dccomics crimefighter terrorist secretidentity burglar hostagedrama timebomb gothamcity vigilante coverup superhero villainess tragichero terrorism destruction catwoman catburglar imax flood criminalunderworld batman
49529,John Carter,john carter is a warweary former military captain whos inexplicably transported to the mysterious and exotic planet of barsoom mars and reluctantly becomes embroiled in an epic conflict its a world on the brink of collapse and carter rediscovers his humanity when he realizes the survival of barsoom and its people rests in his hands taylorkitsch lynncollins samanthamorton willemdafoe thomashadenchurch markstrong ciarnhinds dominicwest jamespurefoy bryancranston pollywalker darylsabara arkiereece davoodghadami pippanixon jamesembree philipphilmar emilytierney edmundkente nicholaswoodeson kyleagnew donstark joshdaugherty jaredcyr christophergoodman amandaclayton josephbillingiere andrewstanton action adventure sciencefiction basedonnovel mars medallion spacetravel princess alien steampunk martian escape edgarriceburroughs alienrace superhumanstrength marscivilization swordandplanet 19thcentury 3d
559,Spider-Man 3,the seemingly invincible spiderman goes up against an allnew crop of villain  including the shapeshifting sandman while spidermans superpowers are altered by an alien organism his alter ego peter parker deals with nemesis eddie brock and also gets caught up in a love triangle tobeymaguire kirstendunst jamesfranco thomashadenchurch tophergrace brycedallashoward rosemaryharris jamescromwell jksimmons theresarussell dylanbaker billnunn elizabethbanks tedraimi perlahaneyjardine willemdafoe cliffrobertson elyabaskin mageinatovah michaelpapajohn joemanganiello stanlee brucecampbell christopheryoung grantcurtis danielgillies johnpaxton beckyannbaker stevevalentine halfishman lucygordon toniwynne andrebblake timmaculan marcvann joebays greggdaniel rogeliotramos timothypatrickquill kathrynbryding joevirzi billerogers michaelalexander aprilparkerjones edwardpadilla robertcurtisbrown paulterrellclayton carolynneff christinacindrich sonyamaddox derrickphoenixthomas jessicollins michaelmclaughlin annegartlan emiliorivera keithwoulard reynaldogallegos jimcoope deanedwards margaretlaney aimeemiles tanyabond markkubr tonybesson ramonadams ajadelman angelisalexandris dawnmarieanderson frankanello anyaavaeva davidbackus tiffanylbaker marcccancassi sujeileecandele michaelciesla irinacosta johncrann crystalmariedenha amyvdewhurst pauledney nataliefabry keithfausnaught amandaflorian briannaleannflorian tiffanyashleyflorian shaunpatrickflynn loganfry kevinfung tonygaltieri chuckgerena brianhopson claudejay juliejei andrewjamesjones nataliejones christopherjude brittanykrall alyssalakota tialatrell lindalee pierangelillinas bernadettelords sandrinemarlier lauramcdavid nataliemcneil danielmignault marthamillan michelenanettemiller claudiakatzminnick robertmyers josephobrien jenoda anjeliapelay nickpoltoranin vanessareseland larivers briaroberts luisrosa vanessaross brennaroth shaderupe aricksalmea ericshackelford danielshafer abbeyskinner kristinsomo jennifersparks christopherstadulis jimmystar arnestarr liamstone tajnatanovic aijaterauda brigidturner evelynvaccaro nickvlassopoulos sincerelyaward silqwebster graigfweich fredrickweiss jenniferweston trentonwilley raywineteer samraimi fantasy action adventure dualidentity amnesia sandstorm loveofoneslife forgiveness spider wretch deathofafriend egomania sand narcism hostility marvelcomic sequel superhero revenge
38757,Tangled,when the kingdoms most wantedand most charmingbandit flynn rider hides out in a mysterious tower hes taken hostage by rapunzel a beautiful and feisty towerbound teen with 70 feet of magical golden hair flynns curious captor whos looking for her ticket out of the tower where shes been locked away for years strikes a deal with the handsome thief and the unlikely duo sets off on an actionpacked escapade complete with a supercop horse an overprotective chameleon and a gruff gang of pub thugs zacharylevi mandymoore donnamurphy ronperlman mcgainey jeffreytambor bradgarrett paulftompkins richardkiel delaneyrosestein nathangreno byronhoward timmertens byronhoward animation family hostage magic horse fairytale musical princess animation tower blondewoman selfishness healingpower basedonfairytale duringcreditsstinger healinggift animalsidekick
99861,Avengers: Age of Ultron,when tony stark tries to jumpstart a dormant peacekeeping program things go awry and earths mightiest heroes are put to the ultimate test as the fate of the planet hangs in the balance as the villainous ultron emerges it is up to the avengers to stop him from enacting his terrible plans and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure robertdowneyjr chrishemsworth markruffalo chrisevans scarlettjohansson jeremyrenner jamesspader samuelljackson doncheadle aarontaylorjohnson elizabetholsen paulbettany cobiesmulders anthonymackie hayleyatwell idriselba lindacardellini stellanskarsgrd claudiakim thomaskretschmann andyserkis juliedelpy stanlee henrygoodman chrisluca brianschaeffer dominiqueprovostchalkley isaacandrews garethkieranjones chanwoolim minheeyeo bentleykalu julianbleach christopherbeasley vuyodabula nondumisotembe kabelothai leleleowaba mandlagaduka harrietmanamela beulahhashe muscakumalo mathapeloseptember antonyacheampong chiomaanyanwu bensakamoto imogenpoynton isabellapoynton ingvilddeila sunnyyeo namjugo minakweon earltkim arthurlee verityhewlett michaelmatovski almanoce riccardorichetta constanzaruff montymclarenclark juliakrynke tonychristensen iankay barryaird aaronhimelstein kerrycondon jaidenstafford dilyanabouklieva joshbrolin jotinagra nickwnicholson danielwestwood josswhedon action adventure sciencefiction marvelcomic sequel superhero basedoncomicbook vision superheroteam duringcreditsstinger marvelcinematicuniverse 3d
767,Harry Potter and the Half-Blood Prince,as harry begins his sixth year at hogwarts he discovers an old book marked as property of the halfblood prince and begins to learn more about lord voldemorts dark past danielradcliffe rupertgrint emmawatson tomfelton michaelgambon jimbroadbent helenabonhamcarter robbiecoltrane maggiesmith alanrickman timothyspall davidthewlis juliewalters matthewlewis evannalynch bonniewright oliverphelps jamesphelps markwilliams warwickdavis nataliatena katieleung davelegeno geraldinesomerville helenmccrory freddiestroma davidbradley frankdillane herofiennestiffin gemmajones afshanazad shefalichowdhury georginaleonidas devonmurray annashaffer joshherdman jamiewaylett scarlettbyrne jessiecave louiscordice alfieenoch robertknox williammelling paulritter isabellalaughland ralphineson suzannetoase rodhunt elaricagallacher davidyates adventure fantasy family witch magic broom schoolofwitchcraft wizardry apparition teenagecrush werewolf
209112,Batman v Superman: Dawn of Justice,fearing the actions of a godlike super hero left unchecked gotham citys own formidable forceful vigilante takes on metropoliss most revered modernday savior while the world wrestles with what sort of hero it really needs and with batman and superman at war with one another a new threat quickly arises putting mankind in greater danger than its ever known before benaffleck henrycavill galgadot amyadams jesseeisenberg dianelane jeremyirons laurencefishburne hollyhunter scootmcnairy callanmulvey taookamoto jenamalone brandonspink laurencohan hughmaguire michaelcassidy alandpurwin danamboyer rebeccabuller harrylennix christinawren jadechynoweth chadkrowchuk kevincostner ezramiller patrickwilson michaelshannon charlierose vikramgandhi andrewsullivan neildegrassetyson jonstewart soledadobrien erikarerickson danabash nancygrace andersoncooper brookebaldwin carlagugino jasonmomoa joemorton rayfisher josephcranford emilypeterson jeffreydeanmorgan sammirotibi hannadworkin tiffanyladdison owaisahmed anishjethmalani tiffanybedwell nataleearteaga keithdgallagher jeffdumas miriamlee aliciaregan stephaniekoenig ripleysobo richardburden juliustennon wunmimosaku dennisnorth kiffvandenheuvel masonheidger ahneyher kristinecabanban sebastiansozzi kentshocknek ralphlister sammyapubles jayradams davidmidura jaytowers michaelellison kirillostapenko rashontaewawrzyniak tomluginbill davepasch dannymooney henryfrostiii nicoleforester debbiestabenow milicagovich johnlepard sandralovealdridge grahamwjbeal henrifranklin jonathanwest tjmartinelli chrisnewman luludahl samlogankhaleghi annemariedamman conniecraig henriettahermelin patrickleahy albertvalladares davidparis abigailkuklis gregvioland tirenjhames stevejasgur jonathanstanley jessenagy duvalemurchison thomasjfentress coburngoss jeffhanlin garyahecker robinatkindownes issacryanbrown bartonbund baileychase patrickoconnorcronin sonjacrosby ctfletcher ahmangreen dianagaitirira jalenemack esodiegeiger nenenwoko scottedwardlogan marcusgoddard cruzgonzalezcadel almamartinez sallopez marcelshihadeh theobonganindyalvane satorishakoor elebardha inderkumar brandonbautista lauraatwood debbiescaletta davidleach gordonmichaels brianboland taraslos jasonhughley sidihenderson meighangerachis nicolesantini axelharney wayneebrown dantebriggins shannongarnett lynchrtravis carmengangale joecipriano willblagrove marcelobem zacksnyder action adventure fantasy dccomics vigilante superhero basedoncomicbook revenge superpowers clarkkent brucewayne dcextendeduniverse
